...1,region_id,region_name,region_type,state,county_name,date,index
276,12447,Los Angeles,city,CA,Los Angeles County,2000-01-31,235321
277,12447,Los Angeles,city,CA,Los Angeles County,2000-02-29,235542
278,12447,Los Angeles,city,CA,Los Angeles County,2000-03-31,236660
279,12447,Los Angeles,city,CA,Los Angeles County,2000-04-30,238746
280,12447,Los Angeles,city,CA,Los Angeles County,2000-05-31,241282
281,12447,Los Angeles,city,CA,Los Angeles County,2000-06-30,243602
282,12447,Los Angeles,city,CA,Los Angeles County,2000-07-31,245996
283,12447,Los Angeles,city,CA,Los Angeles County,2000-08-31,248684
284,12447,Los Angeles,city,CA,Los Angeles County,2000-09-30,251201
285,12447,Los Angeles,city,CA,Los Angeles County,2000-10-31,253272
286,12447,Los Angeles,city,CA,Los Angeles County,2000-11-30,255292
287,12447,Los Angeles,city,CA,Los Angeles County,2000-12-31,257306
288,12447,Los Angeles,city,CA,Los Angeles County,2001-01-31,258805
289,12447,Los Angeles,city,CA,Los Angeles County,2001-02-28,260219
290,12447,Los Angeles,city,CA,Los Angeles County,2001-03-31,262011
291,12447,Los Angeles,city,CA,Los Angeles County,2001-04-30,264616
292,12447,Los Angeles,city,CA,Los Angeles County,2001-05-31,267172
293,12447,Los Angeles,city,CA,Los Angeles County,2001-06-30,269683
294,12447,Los Angeles,city,CA,Los Angeles County,2001-07-31,272305
295,12447,Los Angeles,city,CA,Los Angeles County,2001-08-31,275131
296,12447,Los Angeles,city,CA,Los Angeles County,2001-09-30,277673
297,12447,Los Angeles,city,CA,Los Angeles County,2001-10-31,280363
298,12447,Los Angeles,city,CA,Los Angeles County,2001-11-30,282813
299,12447,Los Angeles,city,CA,Los Angeles County,2001-12-31,285481
300,12447,Los Angeles,city,CA,Los Angeles County,2002-01-31,287503
301,12447,Los Angeles,city,CA,Los Angeles County,2002-02-28,289799
302,12447,Los Angeles,city,CA,Los Angeles County,2002-03-31,292660
303,12447,Los Angeles,city,CA,Los Angeles County,2002-04-30,296438
304,12447,Los Angeles,city,CA,Los Angeles County,2002-05-31,300654
305,12447,Los Angeles,city,CA,Los Angeles County,2002-06-30,304795
306,12447,Los Angeles,city,CA,Los Angeles County,2002-07-31,310110
307,12447,Los Angeles,city,CA,Los Angeles County,2002-08-31,315716
308,12447,Los Angeles,city,CA,Los Angeles County,2002-09-30,321721
309,12447,Los Angeles,city,CA,Los Angeles County,2002-10-31,327042
310,12447,Los Angeles,city,CA,Los Angeles County,2002-11-30,332420
311,12447,Los Angeles,city,CA,Los Angeles County,2002-12-31,337584
312,12447,Los Angeles,city,CA,Los Angeles County,2003-01-31,341737
313,12447,Los Angeles,city,CA,Los Angeles County,2003-02-28,345390
314,12447,Los Angeles,city,CA,Los Angeles County,2003-03-31,349776
315,12447,Los Angeles,city,CA,Los Angeles County,2003-04-30,354295
316,12447,Los Angeles,city,CA,Los Angeles County,2003-05-31,360055
317,12447,Los Angeles,city,CA,Los Angeles County,2003-06-30,364488
318,12447,Los Angeles,city,CA,Los Angeles County,2003-07-31,371119
319,12447,Los Angeles,city,CA,Los Angeles County,2003-08-31,377963
320,12447,Los Angeles,city,CA,Los Angeles County,2003-09-30,385741
321,12447,Los Angeles,city,CA,Los Angeles County,2003-10-31,391513
322,12447,Los Angeles,city,CA,Los Angeles County,2003-11-30,397246
323,12447,Los Angeles,city,CA,Los Angeles County,2003-12-31,403359
324,12447,Los Angeles,city,CA,Los Angeles County,2004-01-31,410725
325,12447,Los Angeles,city,CA,Los Angeles County,2004-02-29,418118
326,12447,Los Angeles,city,CA,Los Angeles County,2004-03-31,425761
327,12447,Los Angeles,city,CA,Los Angeles County,2004-04-30,435371
328,12447,Los Angeles,city,CA,Los Angeles County,2004-05-31,447326
329,12447,Los Angeles,city,CA,Los Angeles County,2004-06-30,458987
330,12447,Los Angeles,city,CA,Los Angeles County,2004-07-31,469294
331,12447,Los Angeles,city,CA,Los Angeles County,2004-08-31,478681
332,12447,Los Angeles,city,CA,Los Angeles County,2004-09-30,489937
333,12447,Los Angeles,city,CA,Los Angeles County,2004-10-31,500719
334,12447,Los Angeles,city,CA,Los Angeles County,2004-11-30,508074
335,12447,Los Angeles,city,CA,Los Angeles County,2004-12-31,514311
336,12447,Los Angeles,city,CA,Los Angeles County,2005-01-31,519101
337,12447,Los Angeles,city,CA,Los Angeles County,2005-02-28,527337
338,12447,Los Angeles,city,CA,Los Angeles County,2005-03-31,534960
339,12447,Los Angeles,city,CA,Los Angeles County,2005-04-30,543534
340,12447,Los Angeles,city,CA,Los Angeles County,2005-05-31,550544
341,12447,Los Angeles,city,CA,Los Angeles County,2005-06-30,559188
342,12447,Los Angeles,city,CA,Los Angeles County,2005-07-31,568849
343,12447,Los Angeles,city,CA,Los Angeles County,2005-08-31,579462
344,12447,Los Angeles,city,CA,Los Angeles County,2005-09-30,589900
345,12447,Los Angeles,city,CA,Los Angeles County,2005-10-31,601708
346,12447,Los Angeles,city,CA,Los Angeles County,2005-11-30,609999
347,12447,Los Angeles,city,CA,Los Angeles County,2005-12-31,617221
348,12447,Los Angeles,city,CA,Los Angeles County,2006-01-31,623528
349,12447,Los Angeles,city,CA,Los Angeles County,2006-02-28,629165
350,12447,Los Angeles,city,CA,Los Angeles County,2006-03-31,635369
351,12447,Los Angeles,city,CA,Los Angeles County,2006-04-30,639435
352,12447,Los Angeles,city,CA,Los Angeles County,2006-05-31,645716
353,12447,Los Angeles,city,CA,Los Angeles County,2006-06-30,650399
354,12447,Los Angeles,city,CA,Los Angeles County,2006-07-31,653373
355,12447,Los Angeles,city,CA,Los Angeles County,2006-08-31,655142
356,12447,Los Angeles,city,CA,Los Angeles County,2006-09-30,652977
357,12447,Los Angeles,city,CA,Los Angeles County,2006-10-31,652426
358,12447,Los Angeles,city,CA,Los Angeles County,2006-11-30,652222
359,12447,Los Angeles,city,CA,Los Angeles County,2006-12-31,654424
360,12447,Los Angeles,city,CA,Los Angeles County,2007-01-31,655255
361,12447,Los Angeles,city,CA,Los Angeles County,2007-02-28,655138
362,12447,Los Angeles,city,CA,Los Angeles County,2007-03-31,653597
363,12447,Los Angeles,city,CA,Los Angeles County,2007-04-30,653150
364,12447,Los Angeles,city,CA,Los Angeles County,2007-05-31,650465
365,12447,Los Angeles,city,CA,Los Angeles County,2007-06-30,647697
366,12447,Los Angeles,city,CA,Los Angeles County,2007-07-31,642300
367,12447,Los Angeles,city,CA,Los Angeles County,2007-08-31,636869
368,12447,Los Angeles,city,CA,Los Angeles County,2007-09-30,630895
369,12447,Los Angeles,city,CA,Los Angeles County,2007-10-31,623627
370,12447,Los Angeles,city,CA,Los Angeles County,2007-11-30,617162
371,12447,Los Angeles,city,CA,Los Angeles County,2007-12-31,610342
372,12447,Los Angeles,city,CA,Los Angeles County,2008-01-31,605965
373,12447,Los Angeles,city,CA,Los Angeles County,2008-02-29,599540
374,12447,Los Angeles,city,CA,Los Angeles County,2008-03-31,588918
375,12447,Los Angeles,city,CA,Los Angeles County,2008-04-30,574006
376,12447,Los Angeles,city,CA,Los Angeles County,2008-05-31,557289
377,12447,Los Angeles,city,CA,Los Angeles County,2008-06-30,542249
378,12447,Los Angeles,city,CA,Los Angeles County,2008-07-31,526772
379,12447,Los Angeles,city,CA,Los Angeles County,2008-08-31,513006
380,12447,Los Angeles,city,CA,Los Angeles County,2008-09-30,502558
381,12447,Los Angeles,city,CA,Los Angeles County,2008-10-31,493369
382,12447,Los Angeles,city,CA,Los Angeles County,2008-11-30,484251
383,12447,Los Angeles,city,CA,Los Angeles County,2008-12-31,471579
384,12447,Los Angeles,city,CA,Los Angeles County,2009-01-31,463012
385,12447,Los Angeles,city,CA,Los Angeles County,2009-02-28,457412
386,12447,Los Angeles,city,CA,Los Angeles County,2009-03-31,454819
387,12447,Los Angeles,city,CA,Los Angeles County,2009-04-30,451244
388,12447,Los Angeles,city,CA,Los Angeles County,2009-05-31,447707
389,12447,Los Angeles,city,CA,Los Angeles County,2009-06-30,442355
390,12447,Los Angeles,city,CA,Los Angeles County,2009-07-31,438278
391,12447,Los Angeles,city,CA,Los Angeles County,2009-08-31,435928
392,12447,Los Angeles,city,CA,Los Angeles County,2009-09-30,435471
393,12447,Los Angeles,city,CA,Los Angeles County,2009-10-31,435631
394,12447,Los Angeles,city,CA,Los Angeles County,2009-11-30,437432
395,12447,Los Angeles,city,CA,Los Angeles County,2009-12-31,442132
396,12447,Los Angeles,city,CA,Los Angeles County,2010-01-31,444042
397,12447,Los Angeles,city,CA,Los Angeles County,2010-02-28,443247
398,12447,Los Angeles,city,CA,Los Angeles County,2010-03-31,444058
399,12447,Los Angeles,city,CA,Los Angeles County,2010-04-30,446311
400,12447,Los Angeles,city,CA,Los Angeles County,2010-05-31,450640
401,12447,Los Angeles,city,CA,Los Angeles County,2010-06-30,448736
402,12447,Los Angeles,city,CA,Los Angeles County,2010-07-31,446329
403,12447,Los Angeles,city,CA,Los Angeles County,2010-08-31,440751
404,12447,Los Angeles,city,CA,Los Angeles County,2010-09-30,435908
405,12447,Los Angeles,city,CA,Los Angeles County,2010-10-31,431057
